"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Never an Athlete","Cyber and Information Security (CSIA)","2021-22","4.0","4"
"Never an Athlete","Cyber and Information Security (CSIA)","2022-23","6.0","6"
"Never an Athlete","Cyber and Information Security (CSIA)","2023-24","32.0","32"
"Never an Athlete","Cyber and Information Security (CSIA)","2024-25","35.0","35"
"Never an Athlete","Dual Language Principal Leader (DLPL)","2021-22","2.0","2"
"Never an Athlete","Dual Language Principal Leader (DLPL)","2022-23","7.0","7"
"Never an Athlete","Dual Language Principal Leader (DLPL)","2024-25","5.0","5"
"Never an Athlete","Dual Language Teacher Leadrshp (DLTL)","2021-22","30.0","30"
"Never an Athlete","Dual Language Teacher Leadrshp (DLTL)","2022-23","12.0","12"
"Never an Athlete","Dual Language Teacher Leadrshp (DLTL)","2023-24","9.0","9"
"Never an Athlete","Dual Language Teacher Leadrshp (DLTL)","2024-25","12.0","12"
"Never an Athlete","Early Childhood Education (ECHD)","2021-22","3.0","3"
"Never an Athlete","Early Childhood Education (ECHD)","2022-23","4.0","4"
"Never an Athlete","Early Childhood Education (ECHD)","2023-24","7.0","7"
"Never an Athlete","Early Childhood Education (ECHD)","2024-25","6.0","6"
"Never an Athlete","Economics (ECON)","2021-22","6.0","6"
"Never an Athlete","Economics (ECON)","2022-23","1.0","1"
"Never an Athlete","Educ Ldrshp & Org Change (ELOC)","2021-22","1.0","1"
"Never an Athlete","Elementary Education (ELED)","2021-22","15.0","15"
"Never an Athlete","Elementary Education (ELED)","2022-23","14.0","14"
"Never an Athlete","Elementary Education (ELED)","2023-24","9.0","9"
"Never an Athlete","Elementary Education (ELED)","2024-25","12.0","12"
"Never an Athlete","Elementary Education (JELD)","2021-22","14.0","14"
"Never an Athlete","Elementary Education (JELD)","2022-23","25.0","25"
"Never an Athlete","Elementary Education (JELD)","2023-24","23.0","23"
"Never an Athlete","Elementary Education (JELD)","2024-25","10.0","10"
"Never an Athlete","Flute (FLT)","2021-22","4.0","4"
"Never an Athlete","Flute (FLT)","2022-23","3.0","3"
"Never an Athlete","Flute (FLT)","2023-24","1.0","1"
"Never an Athlete","Flute (FLT)","2024-25","2.0","2"
"Never an Athlete","French Horn (FRHN)","2021-22","1.0","1"
"Never an Athlete","French Horn (FRHN)","2022-23","6.0","6"
"Never an Athlete","French Horn (FRHN)","2023-24","5.0","5"
"Never an Athlete","French Horn (FRHN)","2024-25","4.0","4"
"Never an Athlete","Guitar (GUIT)","2021-22","2.0","2"
"Never an Athlete","Guitar (GUIT)","2022-23","2.0","2"
"Never an Athlete","Guitar (GUIT)","2023-24","1.0","1"
"Never an Athlete","Guitar (GUIT)","2024-25","2.0","2"
"Never an Athlete","Harp (HARP)","2021-22","2.0","2"
"Never an Athlete","Harp (HARP)","2022-23","1.0","1"
"Never an Athlete","Harp (HARP)","2023-24","1.0","1"
"Never an Athlete","Health Informatics (HIN)","2023-24","24.0","24"
"Never an Athlete","Health Informatics (HIN)","2024-25","40.0","40"
"Never an Athlete","Health Services Administration (HSA)","2023-24","1.0","1"
"Never an Athlete","History (HIST)","2021-22","9.0","9"
"Never an Athlete","History (HIST)","2022-23","9.0","9"
"Never an Athlete","History (HIST)","2023-24","6.0","6"
"Never an Athlete","History (HIST)","2024-25","2.0","2"
"Never an Athlete","Hospitality & Tourism Mgmnt (HTM)","2021-22","13.0","13"
"Never an Athlete","Hospitality & Tourism Mgmnt (HTM)","2022-23","6.0","6"
"Never an Athlete","Hospitality & Tourism Mgmnt (HTM)","2023-24","5.0","5"
"Never an Athlete","Hospitality & Tourism Mgmnt (HTM)","2024-25","5.0","5"
"Never an Athlete","Human Performance (HMNP)","2021-22","1.0","1"
"Never an Athlete","Human Resources Management (HRM)","2021-22","25.0","25"
"Never an Athlete","Human Resources Management (HRM)","2022-23","15.0","15"
"Never an Athlete","Human Resources Management (HRM)","2023-24","18.0","18"
"Never an Athlete","Human Resources Management (HRM)","2024-25","15.0","15"
"Never an Athlete","Human Services (CHHS)","2022-23","1.0","1"
"Never an Athlete","Human Services (CHHS)","2023-24","1.0","1"
"Never an Athlete","Industrial Organizatnl Psych (IPSY)","2021-22","53.0","53"
"Never an Athlete","Industrial Organizatnl Psych (IPSY)","2022-23","48.0","48"
"Never an Athlete","Industrial Organizatnl Psych (IPSY)","2023-24","50.0","50"
"Never an Athlete","Industrial Organizatnl Psych (IPSY)","2024-25","31.0","31"
"Never an Athlete","Information Systems (INFS)","2021-22","1.0","1"
"Never an Athlete","Instructional Leadership (ILED)","2021-22","2.0","2"
"Never an Athlete","Instructional Leadership (ILED)","2022-23","28.0","28"
"Never an Athlete","Instructional Leadership (ILED)","2023-24","26.0","26"
"Never an Athlete","Instructional Leadership (ILED)","2024-25","8.0","8"
"Never an Athlete","Integrated Marketing Comm (IMKC)","2021-22","20.0","20"
"Never an Athlete","Integrated Marketing Comm (IMKC)","2022-23","11.0","11"
"Never an Athlete","Integrated Marketing Comm (IMKC)","2023-24","11.0","11"
"Never an Athlete","Integrated Marketing Comm (IMKC)","2024-25","17.0","17"
"Never an Athlete","Interdisciplinary Leadership (IDLS)","2024-25","1.0","1"
"Never an Athlete","Liberal Arts (LART)","2021-22","1.0","1"
"Never an Athlete","Liberal Arts (LART)","2022-23","1.0","1"
"Never an Athlete","Mathematics (MATH)","2021-22","1.0","1"
"Never an Athlete","Mathematics (MATH)","2022-23","1.0","1"
"Never an Athlete","Mathematics (MATH)","2023-24","1.0","1"
"Never an Athlete","Mathematics (MATH)","2024-25","2.0","2"
"Never an Athlete","Middle School Education (MIDL)","2021-22","2.0","2"
"Never an Athlete","Middle School Education (MIDL)","2022-23","2.0","2"
"Never an Athlete","Middle School Education (MIDL)","2023-24","1.0","1"
"Never an Athlete","Middle School Education (MIDL)","2024-25","2.0","2"
"Never an Athlete","Music Composition (MCMP)","2021-22","10.0","10"
"Never an Athlete","Music Composition (MCMP)","2022-23","6.0","6"
"Never an Athlete","Music Composition (MCMP)","2023-24","3.0","3"
"Never an Athlete","Music Composition (MCMP)","2024-25","3.0","3"
"Never an Athlete","Non-Profit Management (NPM)","2021-22","1.0","1"
"Never an Athlete","None (NONE)","2021-22","9.0","9"
"Never an Athlete","None (NONE)","2022-23","7.0","7"
"Never an Athlete","None (NONE)","2023-24","11.0","11"
"Never an Athlete","None (NONE)","2024-25","7.0","7"
"Never an Athlete","Oboe (OBOE)","2022-23","2.0","2"
